"ID","Name","Type","Stat","MaybeISEquip","Slot","Desc"
"000093b1-d1e2-41dd-b91e-03b1589a3d4b","","scenery","","","",""
"00012fe1-ed85-4f4b-8a65-0803c940d699","","scenery","","","",""
"00023683-0c16-4d0e-b00f-c742eeddd342","","item","","","",""
"000579f2-5935-4128-8a0b-28fca0434dc9","Toad Teapot","item","OBJ_KitchenwareGeneric_Small","","","Incredibly lifelike, down to the last wart."
"00088cb5-5fcf-4f4b-bad2-f00ff06006bc","","item","","","",""
"000950f0-35b8-48d3-9730-519b404cae8b","","scenery","","","",""
"001bfc28-6dcf-4abb-98d5-2b7a80e1f681","Liquidator","item","OBJ_Destr_Support_Stone","","",""
"00211ceb-2b31-4701-8367-fc8052ea7506","Doors","scenery","","","",""
"00253e1b-375c-4ef4-8808-974cab615ff7","","item","CONS_DRINK_Water_Bottle","","","This bottle has been carefully sealed, ensuring the water within remains untainted."
"0028f9ae-4d12-4eaf-ba5d-a2136f717340","","item","","","",""
"002a15a3-77bb-4906-9710-8bcaa68b6939","Table","item","","","",""
"003fd376-5351-44cf-b65f-16881791ee1c","Statue ","item","OBJ_GenericImmutableObject","","",""
"0045f54e-822c-49bf-8e5a-5af766dc2f56","","item","","","",""
"0049387d-2e2a-4234-9191-80cf8677e440","","scenery","","","",""
"004c5b62-9b0b-48ac-8c45-8122f26cca07","","scenery","","","",""
"00544958-4656-4e69-8feb-282cb11a6c9e","|Basic Heavy Crossbow|","item","WPN_HeavyCrossbow","Y","HeavyCrossbow",""
"005873c1-91af-4cd9-be78-92aa518d32c2","","scenery","","","",""
"005ee9c5-23d0-41e6-b4d7-cff4570bc5b5","Spicy Pork Sausage","item","CONS_FOOD_Sausage_D","","","Hard, fatty, and filled with the tangiest spices found in the port of Baldur's Gate."
"0060c7f3-6006-4483-9658-bb44c532cd5a","","item","","","",""
"0060e2ad-7660-435c-8632-09eaa12185a3","","item","","","",""
"006219da-1d2a-4320-9947-2d40830defb2","","LevelTemplate","","","",""
"00681883-831d-47fd-ace1-c3e80a6f5a90","","item","","","",""
"006efb4f-af40-47be-97af-651eb6242a74","","item","","","",""
"0098756a-77d8-4090-887a-176c5e340c55","NAT_Coastal_Plant_Bush_Pine_Medium_A","scenery","","","",""
"00a0c66f-34a4-437d-ab3e-9c96925dbe18","","item","","","",""
"00c02966-ca0f-4448-8a68-8258663cf3fc","","scenery","","","",""
"00cd39fa-ff43-4f00-b3ab-9af52c70b483","Stone Tablets","item","","","",""
"00ce0b31-d2cc-45ed-9855-ae6f2d9a427f","","item","","","",""
"00d4ba8f-1929-4c9f-b7b2-9d13fc41babb","","item","","","",""
"00d54150-a62c-4b01-b513-f165ac0d0150","Dried Sausage Links","item","CONS_FOOD_Sausage_Piled_B","","","Infused with copious amounts of garlic and cooked in mulled wine."
"00d770dd-4b9a-481d-9e8d-a723df8d2f53","_","item","","","",""
"0102b1cc-6d60-43cf-84b2-01a0fad7ae5b","Doors","item","","","",""
"01037d0a-fbfb-41c7-b2d2-0947f2827d80","","scenery","","","",""
"0109262f-3bcb-48fa-aa4c-00d026b46041","","item","","","",""
"0110a54c-90a9-48b1-a97e-9c529e2652db","","item","","","",""
"0116cb70-6029-4cae-b64d-e19033a03087","|Human Spellcaster|","character","Human_Caster","","",""
"011734b5-787f-4559-9ac3-4a68314c1438","Fireplace","item","OBJ_Campfire_Indestructible","","",""
"01177187-d012-4670-9f91-b03410c3465e","","decal","","","",""
"011fd52f-8fee-4765-b0ac-4dd62d4c7c90","","item","","","",""
"0131606c-0619-4fab-95ce-cd081b4e293d","Double Oak Doors","item","","","",""
"0137c068-d160-43bb-8450-182763bf37b4","","item","","","",""
"0138e3a4-4576-45a8-8592-85fa9adaee59","Potion of Gaseous Form","item","OBJ_Potion_Gaseous_Form","","","Turn into a cloud of vapour.&lt;br&gt;Unlock the ability to fly for 10 feet. Gain Resistance to Nonmagical damage and &lt;LSTag Tooltip="Advantage"&gt;Advantage&lt;/LSTag&gt; on Strength, Dexterity, and Constitution &lt;LSTag Tooltip="SavingThrow"&gt;Saving Throws&lt;/LSTag&gt;.&lt;br&gt;While under its effect, character cannot manipulate objects, attack, or cast Spells.&lt;br&gt;&lt;br&gt;&lt;i&gt;Consuming this potion feels more like swallowing vapour than liquid.&lt;/i&gt;"
"013ab097-a7c2-4ceb-8dd9-c82ad56d1d14","","item","","","",""
"013e1e04-f3b8-46fa-a4f5-c22c85a32b2e","","item","","","",""
"01533d43-8a0d-4ecb-abe1-4dedd9f23faf","","character","","","",""
"0155f663-53c8-43d3-b4de-1baa1b9908bc","","item","","","",""
"01588847-3bac-4682-b16c-0172de8aa8f2","","item","","","",""
"015de041-5fdd-4881-85a0-75686d5bb49a","","prefab","","","",""
"015e2c1d-0849-477f-89a8-7f26997e6014","","item","","","",""
"015e57c7-6822-41b7-bc7a-47e9ddb00088","","item","","","",""
"0166e778-76c3-41df-8082-164ed90f3038","","item","","","",""
"016ae6c3-d190-446b-9ebb-3daefd07acf2","","scenery","","","",""
"0170324e-e564-488b-ba08-78e407590f05","","item","","","",""
"01718a36-3102-4dd2-b141-4f5f042deb10","","character","HeroHalfElfFemale","","",""
"0180607d-dbf8-48e6-98d9-89e67aa9f13a","Swarming Toadstool","item","CONS_Mushrooms_SwarmingToadstool","","","Often found swarming around larger fungi, the Swarming Toadstool can grow anywhere it can find some company."
"01852753-22b9-4724-986b-8c9786b04010","Honeyed Ham","item","OBJ_FOOD_Ham","","","Traditionally served as the first dish at every halfling holiday feast, this large ham is brushed with honey, brown sugar, and pineapple glaze."
"018d35fb-2807-4918-a836-a3d6b4917251","","character","","","",""
"019272b2-044d-4f21-8cee-d5f7946473c9","","item","","","",""
"0195a02d-79a1-4f94-bbd1-278b31089142","","item","","","",""
"019a99b9-f4b4-432f-ad91-ccc90a752234","","scenery","","","",""
"019d8804-56ee-44eb-959a-db5377cda8ae","Scroll of Mirror Image","item","OBJ_Scroll_MirrorImage","","","Create 3 illusory duplicates of yourself that distract attackers. Each duplicate increases your &lt;LSTag Tooltip="ArmourClass"&gt;Armour Class&lt;/LSTag&gt; by 3.&lt;br&gt;&lt;br&gt;Whenever you successfully evade an attack, one of the illusions disappears.&lt;br&gt;&lt;br&gt;&lt;i&gt;The scroll is destroyed upon use. Wizards can also use it to learn this spell.&lt;/i&gt;"
"019db071-2d05-498d-8565-4d2fd3f25bb0","","trigger","","","",""
"01a26e77-c4bc-4237-ae71-59c634723a95","","item","WPN_Mace","Y","Mace",""
"01ae9d80-e4d5-422c-a841-e663ca3dc832","Pile of Bones","item","","","","Dented, scratched, and stained with blood."
"01afef67-d026-40f6-be8a-3263ff512544","","scenery","","","",""
"01b2f32d-3657-4e47-8ad0-c12b0ab4cb9c","","scenery","","","",""
"01b4468f-f47f-48dd-bdc0-487896737be6","","scenery","","","",""
"01b52abd-1b89-4c85-9523-54ce574412d8","","item","","","",""
"01bcd734-e44d-4f5b-a49c-b17db1e9dd5b","","scenery","","","",""
"01c188d4-9161-44c0-89cd-a753ea50bf04","|Reference Primitives: Cube 5x5x5|","item","","","",""
"01c33173-89b4-4afd-8d3e-75f2f8d52642","","item","","","",""
"01c40846-bd14-4bea-b0ed-e9401e3bf309","","item","OBJ_Vase","","","A rough earthen vase, decorated only with the silhouette of a stag, the symbol of the Emerald Enclave."
"01c640d1-f4dc-4a56-94c6-28e1bd1134f2","","item","","","",""
"01cf90af-6686-429f-9bcf-e28130fc1037","","scenery","","","",""
"01d1b2b2-9e6b-4ad2-8d63-59f9caf1d389","Scroll of True Resurrection","item","OBJ_Scroll_Revivify","","","Resurrect a companion. They return to life with all of their &lt;LSTag Tooltip="HitPoints"&gt;Hit Points&lt;/LSTag&gt;.&lt;br&gt;&lt;br&gt;&lt;i&gt;The scroll is destroyed upon use.&lt;/i&gt;"
"01d74aea-9e8a-4d03-9b55-e43458b61163","Beastmaster's Chain","item","GOB_Pens_BeastmasterAmulet","","","The green jewel set into this necklace's pendant is carved to resemble a cat's slivered pupil."
"01da5a5b-97cd-4989-9ae3-af646eb35bc9","Gnarled Tree Branch","item","WPN_Ogre_Greatclub","Y","GreatClub","A heavy branch ripped from the trunk of an oak tree."
"01df2059-dc4a-43e5-a352-4c7ef62f4085","Rows of Books","item","OBJ_Bookrow","","","Filled with scholarly texts from across Faerûn - with a few tawdry heroic tales in the mix."
"01ea3f99-ea27-47b2-a2c9-37de7ef77fc3","","item","","","",""
"01ea948d-e239-4540-9aaa-cc74974310d0","Brazier","item","OBJ_GenericImmutableObjectHeavy","","",""
"01fa8d64-f63e-4bb8-9ee4-cba84dad3781","Goblin Booyahg","character","Goblin_Caster","","",""
"0206650c-76b0-4ca3-9060-8efb5b739ede","Orange","item","CONS_FOOD_Fruit_Orange","","","A colourful citrus favourite grown in the south of the Sword Coast."
"020adfe3-f0fb-482f-8a46-158d4820578c","","item","OBJ_Bedroll","","",""
"0212f79d-38cc-4d0c-9d07-920e843b20dd","Goblin Sharp-eye","character","Goblin_Ranger_Strong","","",""
"0213bc96-1a89-4e90-a52c-ceb7ca4bf480","","scenery","","","",""
"0223bb77-9f1e-43d1-abdd-5bacde88d142","","scenery","","","",""
"022787a4-f5c5-40ed-8d05-f54f5295e2f5","","scenery","","","",""
"0232772d-14e0-408c-b6bb-2dce7649fa72","","item","","","",""
"0238abf9-d0c5-44c8-87fa-7a72f0826065","Backpack","item","OBJ_Backpack","","","A simple canvas bag, perfect for carrying almost anything."
"023a1af1-1c5f-4e2f-adc4-4bdd7c595a7f","Broken Box","item","","","",""
"024209a6-569b-4a28-aac1-2a125d52c14e","","item","","","",""
"0261ce21-ad32-4c02-b879-a0597c8df875","","scenery","","","",""
"026683a9-4fb0-4b49-b0a3-50169a56a54d","","item","","","",""
"0267288d-2d8c-43e0-96db-c2d224c5a3a6","","item","","","",""
"02684d31-8fd1-4659-a8bf-bbf1757f94bc","","item","","","",""
"026bed8f-09ae-4146-be47-248cfc6dd0b8","Stack of Books","item","OBJ_Bookrow","","","Precariously stacked tomes of varied thickness, each dustier than the one beneath."
"0271f69c-ef7f-4246-9286-41036fd2e235","Dwarf's Poem","item","GOB_DwarfsPoem","","","A eulogy for a Selûnite who died in the dark below. Notes about a door under the temple are written in the margins."
"028706a5-df59-4df7-8ac5-e5e6ed843dfe","Stuffed Ettercap Head","item","","","","The creature's mandibles seem to twitch - its eyes threatening even in death. "
"028fdf79-07b7-4a34-af59-eb40dea1fc1d","","item","","","",""
"0291871f-6775-4b35-aef9-7338b4b74c4a","","scenery","","","",""
"029974e1-c539-4316-befb-4c9e84cddeef","","TileConstruction","","","",""
"029e2f4c-b5d6-4140-8a8b-a180afe0ac3b","","item","","","",""
"029ea937-6abf-407b-bdd8-5b58aa2a0853","Fables of Faerûn V: The Boy and the Beholder","item","BOOK_GEN_Races_FablesofFaerun5","","","One of a series of thin tomes illustrating simple lessons to readers of all ages. "
"02a218d1-b905-4ffc-84f4-ddd3181b9bfc","","item","","","",""
"02a42dd9-84b8-49f5-ae01-66a6716715fe","Lever","item","OBJ_GenericImmutableAttackableObject","","",""
"02aadf45-f65c-48db-a6ff-e8adeddb873d","Potion of Lightning Resistance","surface","","","","Gain resistance to Lightning damage until your next Long Rest."
"02ae5d88-8044-43df-8363-02a2900776db","Leather Armour","item","ARM_Leather_Body","Y","Body","Dark, messy stains line the armholes of the well-used leather breastplate."
"02b5afde-8195-43f0-b27c-d441e64bade1","","scenery","","","",""
"02b5e1ea-389d-4008-a247-66538709388b","","character","Mephit_Mud_Summon","","",""
"02c5c8a8-444b-4b0f-bc25-582a073fd2e8","","character","Halfling_Commoner","","",""
"02dd94ad-54f3-494c-9746-e6e844b42327","Doors","item","","","",""
"02e52682-45ad-41d5-acfc-e1c5e6780e4c","","item","OBJ_Candle","","",""
"02e8864a-d58f-49a2-b588-08c320f82969","","item","","","",""
"02ec34d0-0a88-47a7-8909-099ac252edcc","Potion of Hill Giant Strength","surface","","","","&lt;LSTag Tooltip="Strength"&gt;Strength&lt;/LSTag&gt; increased to 21 for 1 minute."
"02ed42bf-42ea-4577-ad95-d45aa04ffda8","","scenery","","","",""
"02f29664-a01a-4f6b-b8a2-6a585845ff10","","scenery","","","",""
"02f46b6f-201d-4f88-a115-802b8ddb4d1f","","scenery","","","",""
"02f48623-264e-4c39-9cab-48f269c991d9","","scenery","","","",""
"02f542b1-bf7d-4aca-b233-085ff36223d2","Broken Chest","item","","","",""
"02f7446a-8150-4401-aab3-384b7c95a0e0","Silver Bound Tome","item","","","",""
"02f7abab-4867-47a2-ba60-a651b3b0fa3a","Arcane Machinery Pipes","item","UND_ArcanePowerGenerator","","",""
"02fad746-8981-4bd0-a001-428ccd806e5c","","projectile","","","",""
"0302a8c3-53a0-4d8c-9fab-974cf1921f68","Wolf","character","Wolf_Wildshape","","",""
"0302cee8-5abd-4ab8-af67-65142724946c","Lavish Chair","item","OBJ_Chair","","",""
"03057be5-c7d9-49f9-8539-6a7ecf674f63","","item","","","",""
"030e5447-0920-4bba-828e-6bed9e44fd48","","scenery","","","",""
"031a7cc9-f6e3-4660-be9f-0063ca36e9ca","","scenery","","","",""
"032c0c5e-158f-4c51-8fbe-f7658f43c853","Burnished Necklace","item","ARM_Amulet_Necklace_C_Bronze_A","Y","Necklace","Bright and polished, this necklace was clearly cherished by its previous owner."
"0332afb3-e027-4389-8bcd-04ef0a90b5e9","","item","","","",""
"0343045a-9efc-4405-a0f9-b37b936f4b65","Bronze Lid","item","OBJ_Kitchenware_Pot_Drum","","","The lid to a keg. Useless alone."
"03442493-5e40-4473-859c-aea31913534d","Broken Vase","item","","","",""
"03476426-3771-40b3-a5e9-f325ef8c767e","","item","","","",""
"034b1d0d-8451-4016-b782-4a6e48ad7008","","item","","","",""
"0362a7c4-9b52-4277-b79b-a929f9d1a3aa","","character","Tiefling_Caster","","",""
"0371fa33-7dae-4980-8468-6d8e99824af6","Sapphire","item","OBJ_Sapphire","","","It is said kissing a sapphire will help you keep any secret - no matter how grave the sin."
"03754674-836a-4e82-8c08-28d16b5fd7d7","","scenery","","","",""
"0375eddc-d496-474e-9a4b-a356e0a19c03","","item","","","",""
"03771ebc-83ca-45d2-8bd5-d382b6d6d824","Scroll of Protection from Evil and Good","item","OBJ_Scroll_ProtectionFromEvilAndGood","","","Protect a creature against aberrations, celestials, elementals, fey, fiends, and undead.&lt;br&gt;&lt;br&gt;The target can't be Charmed, Frightened, or possessed by them, and when these creatures attack it, they have &lt;LSTag Tooltip="Disadvantage"&gt;Disadvantage&lt;/LSTag&gt;.&lt;br&gt;&lt;br&gt;&lt;i&gt;The scroll is destroyed upon use. Wizards can also use it to learn this spell.&lt;/i&gt;"
"0377d0b6-85f5-4118-9e87-55ec35bc4434","Stuffed Hook Horror Head","item","","","","This creature's mottled flesh is brightened by paint - like a strange watercolour. "
"037c880f-85e0-4c46-abba-d4d077dc9bf6","","item","","","",""
"03807904-5912-4ea6-bbe2-c28ddc4ba364","","item","","","",""
"0384ac70-9b4d-4cee-8ff1-887d47c30dc6","","scenery","","","",""
"0384dd36-289e-4f6a-afab-f14b899ce4a7","","scenery","","","",""
"03869fac-4739-4fc2-95d4-a817a07b7c5c","","item","","","",""
"0395e0ff-0a32-4099-9729-54a7b8c7c57c","Broken Box","item","","","",""
"03a875ec-6203-4913-b966-3cd98184813e","","scenery","","","",""
"03aa01e4-d743-4e5e-b263-3658f5adb053","|Reference Primitives: Cube 2x2x2|","item","REF_Primitives","","",""
"03b0a1e0-fb6d-46d7-993d-9d11dc27818f","","scenery","","","",""
"03b3191d-6995-42d9-b40a-e8c55938e2ca","","item","","","",""
"03b33476-4f2a-42de-95f5-ce201bacaf4b","","decal","","","",""
"03c36352-4f2f-4f41-9b14-5a92cd970e20","","item","","","",""
"03c88f77-14f6-407a-81aa-64c23c6d5d16","","scenery","","","",""
"03d08bdd-0ddc-4c4e-be40-109f9e8e69e5","","item","","","",""
"03d870e8-f0cc-459c-be77-897559a0a0c5","","scenery","","","",""
"03d94b9b-3926-4570-a95f-cfb2da22678d","Severed Head","item","","","","Bloody foam leaks out of the head's slack mouth."
"03e04651-76d7-489c-80c1-6f72584618d3","","item","","","",""
"03e0d189-53bf-415d-9b83-1e766c2786a5","|Shar Chair|","item","","","",""
"03e1028e-eea0-4eaf-9f40-6876493c29cd","Winged Lion Statue","item","","","",""
"03e30687-2fc3-4b3a-84be-49d1d06991a0","","scenery","","","",""
"03e6738e-f5fc-4fd7-818a-74c6b0a8b573","","item","","","",""
"03f340c1-a26e-427e-968a-94c795015965","Conjured Quasit","character","Chain_Quasit","","",""
"03fcb7dd-17be-492b-baa1-f6c62fe594ce","","scenery","","","",""
"0402786b-de54-4e4b-b551-1f2acb5f61a8","Wooden Crates","item","OBJ_Crate_Stack","","",""
"04082ffe-721c-4c14-a6c9-ccc24a89cedf","","prefab","","","",""
"04090bae-ee8b-4338-ae43-f735a988a9e1","","item","","","",""
"041133b9-159b-47f6-a68e-6fe54e7dd953","","item","","","",""
"0416d50f-a41a-4ba3-b201-d8fc6fed91f9","Key","item","PUZ_Key","","","|Description of where this key was found/what it's for.|"
"042be340-dc9c-4d35-9b14-c42118e24a7f","","item","","","",""
"042f1c67-685a-4339-a46e-e6c2fb248359","","scenery","","","",""
"04309142-c150-4e2a-b923-1efac5864559","","scenery","","","",""
"0439c127-9f25-4c5a-b18c-c482f7128258","","scenery","","","",""
"043e9fd4-8734-484d-8a3b-4dc815078323","","item","","","",""
"0455ac80-6424-4425-9f9a-bf2f9a1f7bf5","","item","","","",""
"045c6e34-d920-4fd4-a7fd-5c93a4991c30","","item","","","",""
"045f416c-7c67-413d-a06f-2c2fdbb282a8","Hyena","character","Hyena","","",""
"04622e3d-5b3f-4f2c-a0db-513a717d911f","Heavy Crossbow","item","WPN_HeavyCrossbow","Y","HeavyCrossbow","A standard-issue crossbow, used by many guardsmen."
"046598e3-8cb4-497c-bfd2-866ff88b50db","Explorer's Ring","item","UND_MushroomHunger_RingOfExploration","Y","Ring","A radiant and remarkably preserved ring, forged from arandur metal."
"0467b40b-6b22-4217-918e-7fc2d9e35202","","TileConstruction","","","",""
"0469d651-e26b-41f3-b2bd-40daea1da4d9","","scenery","","","",""
"0469fe12-ed0c-4497-ae65-12f3ef677625","","prefab","","","",""
"046ad0f4-b19c-44b7-8093-f0c48cab7da9","","character","","","",""
"0470389f-1f78-400b-a2bf-4e69ffa92dde","","scenery","","","",""
"04713dce-8944-4b6c-9dc1-55e731f18810","Water Pump","item","OBJ_WaterPump","","",""
"0476b0b5-81e8-4a90-8079-3983e189a8b1","","scenery","","","",""
"047ad30e-2d8e-4fa9-819b-bfca3170e51b","","scenery","","","",""
"047bf911-67eb-448a-abd5-24a0bc818672","","scenery","","","",""
"04866590-b09c-4ca6-993c-f015c5558465","","scenery","","","",""
"0487c10f-02cb-4f9b-821e-4077340f10d7","Bag of Rotten Food","item","OBJ_THR_BagRottenFood","","","Drips unpleasantly when squeezed."
"049173ec-636a-487e-a9ed-bfafeadf6bb7","Longbow +1","item","WPN_Longbow_1","Y","LongBow","Carved enchantments span the length of this supple bow."
"04b2473c-6968-46d3-a65c-11e8f2509eae","","item","","","",""
"04b72274-713b-4093-8f16-b42b42d2be57","","scenery","","","",""
"04b75679-bd1b-4d69-b48d-ea6a192aacca","","projectile","","","",""
"04ba10a0-ca33-47e6-9810-0b7234700c4a","Arrow of Fiend Slaying","item","OBJ_ArrowOfFiendSlaying","","","Deals critical damage against Fiends.&lt;br&gt;&lt;br&gt;&lt;i&gt;Swift and true as a solar's shining blade.&lt;/i&gt;"
"04bbc48d-4771-4c2b-8e86-1fd1eef86137","","character","Tiefling_Melee","","",""
"04c526d3-492a-4467-9619-73d026ac2edd","","scenery","","","",""
"04cb9655-ef11-4e21-869d-3bf123fed395","","scenery","","","",""
"04d1a022-7116-4f19-87b2-bb203ea525f7","","prefab","","","",""
"04e2c584-61c7-4108-b7c7-e5190da04f5e","","character","","","",""
"04e5ff98-d32b-45ce-bfe7-be7f59cbcbd8","Goblin Girl","character","","","",""
"04e7137d-1177-4862-96d6-5694f4d81665","","item","","","",""
"04ecf7e9-bfb4-463e-be28-be69ddf2de3b","","scenery","","","",""
"04ee874b-d7e8-4b32-85af-f949d301c0c9","","prefab","","","",""
"05047890-4138-40b5-9d8d-3ccb9d10e434","","character","","","",""
"05055942-aba3-4e0c-bf73-7a4bb82d57a2","","scenery","","","",""
"050dc220-bfa8-488f-952e-782decf89534","","scenery","","","",""
"05172936-526f-4f85-8b9a-cc0db06dff6f","","item","","","",""
"051ef1c3-8491-4dc2-898e-c34e5808d96d","","scenery","","","",""
"05257244-ab59-4eab-9745-d1fea7b8cd10","Potion of Lightning Resistance","item","OBJ_Potion_Of_Lightning_Resistance","","","Gain resistance to Lightning damage until your next Long Rest.&lt;br&gt;&lt;br&gt;Only one Potion of Resistance can be active at a time.&lt;br&gt;&lt;br&gt;&lt;i&gt;This potion causes a tingling sensation in the extremities when consumed.&lt;/i&gt;"
"052b7bba-fbbe-4d56-ab5b-b47cdfb82388","Ornate Mirror","item","OBJ_Mirror","","",""
"052e8b33-defd-4969-be26-80f350e71db2","","light","","","",""
"053cda9c-7577-428b-8841-04e80836b6af","","item","","","",""
"05447998-ac54-4394-8d56-39739d7ed948","","character","","","",""
"05484908-52b5-4057-a279-f1388943e7b5","","item","","","",""
"0549736b-2acb-447f-8fb9-61585b6e1bff","","item","","","",""
"054d189d-4c0e-4013-8f38-c62db5be2dd2","Chandelier","item","OBJ_Candle","","","Hammered from iron and surprisingly ornate. The candles still have life left in them."
"054d7155-afdb-4d84-b21c-ee7f14bee6e5","Broken Sarcophagus","item","","","",""
"05521f42-2236-4edc-ab06-1ab889c3c173","","item","","","",""
"055e841a-41fd-4fa8-a8ff-ee8b153d176b","","item","","","",""
"055f12f5-eb99-4893-9913-c22f36d233a8","","character","","","",""
"056672b9-3c04-4334-9221-de1fc751a44c","","light","","","",""
"056945af-e9c2-4d8d-8497-752802e51ce1","Granite Bench","item","OBJ_GenericImmutableObject","","",""
"056c36f8-eaa6-4d85-926a-41ca66dde1b8","","character","Dwarf_Melee","","",""
"05879aaa-ff4a-48d9-a42b-7bc9c0de7287","","TileConstruction","","","",""
"058981e7-a46c-4698-bd0d-4f99ef9940b2","","prefab","","","",""
"05a88104-6e07-4c9c-915e-dee8d37304a9","Bed","item","OBJ_Bed","","",""
"05a9cbf9-cc11-4f48-b3ad-ef04f6723fc0","Magron's Head","item","","","","The head of this elf is ice cold, mouth frozen mid-scream, eyes wide with abject terror."
"05ab9dd0-89b0-4f11-bbf9-a40abe90fbc3","Mahogany Wardrobe","item","","","",""
"05ac5027-8ff4-4837-81bf-dc50267de739","","scenery","","","",""
